Teacher Name,Teacher Rating (Avg),Teacher Rating (STD),Teacher Helpfulness (Avg),Teacher Helpfulness (STD),Number of Ratings,Number of Classes
Carlo Giovanni Traverso,6.306521739130434,0.2944428592333276,6.352173913043478,0.3792092060171614,46.0,7
Nevan Clancy Hanumara,5.498214285714286,0.6848464560522648,5.649107142857143,0.8207678825903438,224.0,17
Anthony M. Pennes,6.6,0.2828427124746188,6.6,0.2828427124746188,27.0,2
Steven Burcat,5.518181818181818,0.5733762556807812,5.263636363636364,0.7607086735080737,11.0,3
Leroy Kudakwashe Sibanda,6.583333333333333,0.2608745973749755,6.616666666666666,0.4099457958749612,18.0,2
David R. Custer,5.683152173913045,0.5673056636184187,5.861413043478261,0.5992569339384786,184.0,21
Megan McNamara Dawley,6.3,0.0,6.0,0.0,4.0,1
Anette E. Hosoi,6.430795847750865,0.3797919524950349,6.257093425605535,0.3545939657481671,578.0,40
Christina Marie Chase,6.177241379310346,0.5413577856472152,6.142068965517242,0.6095412594467216,145.0,31
Helen Sun,7.0,0.0,7.0,0.0,3.0,1
Henry H. Wang,7.0,0.0,7.0,0.0,3.0,1
Joshua D. Ramos,6.7532319391634985,0.2179645979880394,6.729277566539925,0.2591633419018077,263.0,24
Abe Gebreab Gerzeghier,6.0,0.0,4.0,0.0,1.0,1
Rohan Abeyaratne,6.582926829268292,0.27232283479972996,6.530182926829268,0.3445179958501509,328.0,27
David Moore Parks,4.533619210977703,0.9137796494755204,4.51852487135506,1.1030753294703155,583.0,37
Christos Marras Gkiokas,5.779999999999999,0.5878775382679629,6.02,0.6368673331236262,15.0,2
Crystal Elaine Owens,5.166666666666667,0.074535599249993,5.333333333333333,0.1490711984999861,6.0,2
Michael Rainer Braun,5.8388888888888895,0.5492138039681231,6.029629629629629,0.6314679047090523,108.0,11
Ritu Raman,6.1,0.2812310599683279,6.040909090909091,0.3845411562192615,22.0,5
Kenneth N. Kamrin,6.385714285714285,0.284081355196745,6.249923195084486,0.4562376966920635,651.0,26
Andrew Yen-Jong Chen,6.8,0.0,6.8,0.0,13.0,1
Thomas Butruille,5.966666666666666,0.2357022603955158,5.766666666666667,0.3771236166328253,9.0,2
William Zunker,6.6,0.0,6.6,0.0,5.0,1
Yang Shao-Horn,5.6199421965317935,0.49870467717905187,5.589595375722544,0.5596823607634193,346.0,29
Xuanhe Zhao,5.923504273504274,0.5655370584777374,5.887606837606838,0.5626329276138202,234.0,17
Thomas Peacock,5.999262899262899,0.6343751958541064,5.957985257985258,0.684528116148208,407.0,31
Kyle Ian McKee,7.0,0.0,6.833333333333333,0.074535599249993,6.0,2
Max William Pierce,6.681818181818182,0.0574959574576069,6.727272727272728,0.0862439361864103,22.0,2
Evan Keefe Massaro,6.7,0.0,6.599999999999999,8.881784197001252e-16,12.0,2
Nicolas Hadjiconstantinou,5.3664462809917355,0.7982510422499375,5.310247933884297,0.8770880284231274,605.0,39
Dick K. P. Yue,6.023456790123457,0.4951671634285182,5.864814814814814,0.6040983713350475,324.0,25
Franz S. Hover,6.399893617021277,0.3567435299055476,6.305744680851064,0.6738812468173694,940.0,47
Anubhav Guha,6.6,0.0,6.7,0.0,15.0,2
Casey Bradt,0.0,0.0,0.0,0.0,0.0,1
Michael Frederick Fernandez,6.328205128205129,0.4431522965329408,6.312820512820513,0.4432858007174215,39.0,4
Jacopo Buongiorno,6.491457286432162,0.15052355398028,6.301340033500837,0.3819173351346868,597.0,19
Kripa Varanasi,5.722523961661342,0.6033087841582053,5.596006389776359,0.7054104191065587,626.0,28
Sandra L. Walter,6.490217391304347,0.2043333713666571,6.559782608695652,0.2250892492597661,92.0,5
Marco Graffiedi,6.233333333333333,0.047140452079103,6.233333333333333,0.047140452079103,18.0,2
Rafael L. Estrella,6.158823529411764,0.0492152956784752,6.223529411764707,0.1476458870354254,17.0,2
Sili Deng,6.002459016393442,0.4000948893093883,6.090983606557377,0.4392624403867618,122.0,10
John G. Brisson,6.136125654450262,0.7385450993623277,5.775916230366493,0.8296508275174861,191.0,14
Sami Yamanidouzisorkhabi,6.286666666666667,0.1968643074697786,6.477333333333333,0.2132749920225578,75.0,5
Sangbae Kim,6.261525974025973,0.326726596416437,6.132792207792208,0.4771016346748473,616.0,38
Amos G. Winter,6.436375838926173,0.22550231703180407,6.213422818791948,0.35834401343195926,745.0,28
Aditya Mehrotra,5.653846153846154,0.3608012122941099,5.730769230769231,0.541201818441165,13.0,2
Ben Daniel Lerman,4.5,0.0,4.5,0.0,4.0,1
Mingyuan Li,5.925,0.5356071321407139,5.9875,0.3072899011248717,24.0,5
Dawn Marie Wendell,5.889749999999999,0.7124043356830442,5.83825,0.7666889444227044,400.0,26
Daniel Braunstein,6.601265822784809,0.2749621506882759,6.5839059674502725,0.2809399204411539,553.0,42
David E. Hardt,5.57037037037037,0.7320602492314425,5.424897119341563,0.826625776637019,486.0,38
Kaitlyn P. Becker,6.623076923076923,0.3261756161094489,6.661538461538461,0.4796448390190737,26.0,3
Robert M. Podoloff,6.568235294117646,0.4147888944868454,6.588235294117646,0.490716586397984,85.0,15
Raymond S. McCord,6.445841392649903,0.5214241007396024,6.436750483558994,0.5413317999392718,517.0,52
Ronald S. Spence,6.844444444444445,0.2006163342807528,6.844444444444445,0.2006163342807528,27.0,5
Xinnan Peng,6.9,0.1414213562373094,6.9,0.1414213562373094,9.0,2
Stephen M. Haberek,6.807666666666668,0.1780670909766568,6.698333333333335,0.896045323754453,300.0,24
William Cormier,6.893632075471699,0.0886588570500902,6.890094339622642,0.3518763592969996,424.0,24
Jung-Hoon Chun,5.057877813504822,0.7228209283046664,4.9536977491961425,0.7763863186058898,622.0,47
Ashley Hartwell,6.026666666666667,0.3539617053988877,6.096666666666666,0.4468283289536997,30.0,4
Wade Collins Warman,6.443103448275862,0.1743085541706858,6.543103448275862,0.1486862804300024,58.0,8
Alexandra H. Techet,5.942307692307691,0.6544195934005511,5.91923076923077,0.6854960997624406,182.0,37
Ahmad Zakka,6.5,0.0,6.3,0.0,4.0,1
David Wallace,6.648000000000001,0.22641410499077932,6.5223673469387755,0.2423475909765659,1225.0,27
Dayme Delgado,7.0,0.0,6.6,0.0,8.0,1
Layal A. Barakat,6.8,0.0,6.8,0.0,10.0,1
Shayna Ahteck,5.0200000000000005,1.6166632302368973,5.0200000000000005,1.6166632302368973,5.0,2
Styliani Rossikopoulou Pappa,6.0,1.09217999563128,5.935714285714285,1.210435071048625,14.0,4
Jared David Berezin,6.631460674157304,0.3560379684392271,6.612921348314607,0.3596212184788386,178.0,26
Charlene Xia,6.855999999999999,0.0897997772825746,6.855999999999999,0.0897997772825746,75.0,6
Victor Hung,6.795061728395061,0.1695318423551201,6.760493827160492,0.1830327585505849,162.0,11
Ari W. Epstein,5.9,1.1335784048754636,5.86875,1.0411644622728924,32.0,8
Sophia Lisbeth Hsu,6.378787878787879,0.4825799200619681,6.245454545454545,0.5173305075041396,66.0,13
Joel G. Grimm,7.0,0.0,7.0,0.0,16.0,6
Douglas Hart,5.66020066889632,0.6977661153318052,5.498996655518396,0.8754352935346345,299.0,45
Alfonso Alexander Perez,4.317021276595744,0.9399681182769412,4.174468085106383,0.9885446179851454,47.0,5
Suparnamaaya Prasad,7.0,0.0,7.0,0.0,1.0,2
Michael Trice,5.995505617977528,0.8190032462598476,6.024719101123596,0.8190541131066648,89.0,20
Juergen Schoenstein,6.3652582159624425,0.6849930975222709,6.337089201877934,0.790961248272238,213.0,38
Michael S. Triantafyllou,5.8093264248704655,0.6752593531117794,5.515025906735751,0.8040906583797677,193.0,23
Laura S. McKee,6.760526315789474,0.1288399122620385,6.707894736842106,0.1628392474147893,38.0,8
Andrew Arnold Bennett,6.944444444444445,0.0895806416477616,6.888888888888889,0.1791612832955235,18.0,5
Rodolfo Rosales,5.577499999999999,0.4280697957109334,5.711250000000001,0.5079354658812477,80.0,12
Nicholas Makris,5.757246376811594,0.5772524897157291,5.598309178743962,0.828287355363975,414.0,30
Lallit Anand,5.87603305785124,0.940314535623279,5.77823691460055,1.0063956246118435,363.0,35
Fan Liu,5.782758620689655,0.5232978748991433,5.703448275862069,0.4795707553568912,29.0,7
Eric Michael Stewart,6.916,0.1346996659238616,6.972,0.0448998886412868,25.0,3
Willem Marinus Van Rees,6.214285714285715,0.6101830798168851,6.245604395604396,0.631636125586175,182.0,14
Daniel Frey,5.742935982339955,0.7200378564114087,5.734105960264901,0.8602300412516177,906.0,37
Bavand Keshavarz,6.78692098092643,0.2096917466982668,6.8408719346049045,0.1281488510031343,367.0,15
Micha Feigin-Almon,5.0,0.0,5.3,0.0,6.0,1
Hao Li,5.882142857142857,0.391930725865619,5.966071428571429,0.3083810176402179,112.0,13
Anthony T. Patera,6.205681818181819,0.7059580779701013,6.0190340909090905,0.6535794614843509,352.0,28
Raul A. Radovitzky,6.427272727272728,0.4614028196527097,6.109090909090909,0.7452327829788798,22.0,7
Ian Hunter,5.790329218106995,0.6258238148001349,5.426131687242799,0.7943966931673744,486.0,26
Michael Whitney Aling,6.4,0.0,6.4,0.0,5.0,1
Jean-Jacques E. Slotine,5.427692307692308,0.8713751629213523,5.010153846153846,0.9611795514769934,325.0,28
Joao Cavalcanti Vilela,6.1,0.0,6.2,0.0,10.0,1
Markus J. Buehler,6.8,0.0,6.8,0.0,6.0,1
Zhenze Yang,6.8,0.0,6.8,0.0,5.0,1
Neville Hogan,5.559331476323121,0.8834697352664681,5.437604456824513,1.1329237692554273,359.0,31
Federico Tessari,6.7,0.0,7.0,0.0,3.0,1
Johannes Lachner,7.0,0.0,7.0,0.0,3.0,1
Lydia Bourouiba,6.2,0.3741657386773942,6.230555555555555,0.3557616590144183,36.0,6
Gareth H. McKinley,6.643937007874016,0.2421821969188343,6.425826771653544,0.4439558056760999,635.0,24
Joshua David John Rathinaraj,6.255555555555556,0.2910177967490844,6.333333333333333,0.2494438257849292,18.0,2
Tolga Durak,,,,,0.0,2
Michael A. Cameron,0.0,0.0,0.0,0.0,0.0,1
Macauley Reardon Kenney,6.155555555555555,0.3201080064641766,6.300000000000001,0.4472135954999581,27.0,3
Sharmi M. Shah,6.9,0.1,6.9,0.1,8.0,2
Simon D. Opsahl,5.0,0.0,5.0,0.0,1.0,1
Christina Chen,5.0,0.0,5.5,0.0,2.0,1
Daniel Sweeney,6.582051282051282,0.2753755429914637,6.538461538461538,0.2338259100549332,39.0,7
Aly Kombargi,6.0,0.0,6.0,0.0,4.0,1
John J. Leonard,5.254898648648648,0.6035169923027631,5.075168918918919,0.7630453113295923,592.0,24
Tim Y. Magoun,6.9,0.0,6.9,0.0,8.0,1
Martin A. Segado,6.029885057471264,0.3894041845847619,6.124137931034483,0.427089997579551,174.0,15
Lauren Amy Chai,5.928301886792454,0.7773630701458802,5.856603773584905,0.8104295236576393,53.0,8
Kevin David Cedrone,6.6260504201680686,0.2648805612790811,6.632773109243698,0.2387323819703917,119.0,15
Thalia Rubio,6.203921568627451,0.3843137254901963,6.269934640522877,0.4803436905879121,153.0,32
Keith Clavin,6.293617021276596,0.4148336017695345,6.314893617021277,0.4533462926098408,47.0,14
Kate Parsons,6.592857142857143,0.1869464618328918,6.528571428571429,0.1531972184966231,14.0,3
Leslie Ann Sulit Roldan,7.0,0.0,7.0,0.0,2.0,1
Linda Sutliff,6.024074074074073,0.5833921193189033,6.257407407407407,0.415265132554493,54.0,11
Kevin J. Digenova,6.820833333333333,0.2254239832453995,6.954166666666667,0.0498260864295889,24.0,5
Barbara J. Hughey,6.616199095022624,0.18431734437674338,6.639276018099548,0.33158800803395666,1105.0,32
Irmgard Bischofberger,6.46085409252669,0.2226450106673538,6.412099644128114,0.2786524590202332,281.0,15
Cullen Buie,6.156920684292378,0.3240891122075465,6.051166407465007,0.4013325881816089,643.0,26
Steven R. Gillmer,6.7333333333333325,0.1935466803133482,6.723809523809525,0.2428104530282275,21.0,4
Haiou Wang,4.2,0.0,3.5,0.0,5.0,1
Edward Boyden,5.489830508474577,0.8286593042131754,5.047457627118643,0.9471376919574958,59.0,9
Anders Sejr Hansen,6.803125,0.15709148409446,6.740625,0.1454720226538423,32.0,5
Maxine Jonas,6.81195219123506,0.2353614108775232,6.848605577689244,0.330199818486098,251.0,17
Kevin S. Ly,6.7375,0.1634587103827752,6.759375,0.2191736968137372,64.0,6
Steven Wasserman,6.442602040816328,0.3739561864491485,6.449234693877551,0.4191213184898394,392.0,25
Kacper K. Migacz,7.0,0.0,7.0,0.0,4.0,1
Bhuvna R. Murthy,6.9,0.0,6.9,0.0,7.0,1
Ashwin Gopinath,5.254545454545454,1.1669932640066585,5.334848484848485,1.45367792942512,66.0,9
Nayan Pawan Agarwal,5.7,0.5126959555693246,5.7,0.5126959555693246,7.0,3
Doyoon Lee,5.8500000000000005,0.8500000000000001,5.65,0.6499999999999999,6.0,2
Benita Comeau,6.775518672199168,0.1599476076820658,6.784232365145228,0.1711576762982511,241.0,28
Mathias Kolle,5.549901380670612,0.7469959496905652,5.277120315581855,0.9327639101891644,507.0,31
Stephen G. Banzaert,6.834728506787331,0.1398279277124515,6.837217194570136,0.1179843646106638,884.0,38
Bon H. Koo,6.661403508771929,0.3296752181486696,6.671929824561404,0.2411626705605553,57.0,7
Anthony Buonassisi,6.254125412541255,0.3202327084668658,5.974257425742574,0.4809204867647799,303.0,15
Tingyu Su,4.714285714285714,0.8390957231764808,5.457142857142857,1.2419536946246574,7.0,3
Michael R. Benjamin,6.852941176470588,0.1333621652794664,6.888235294117647,0.112497597052384,136.0,20
Tyler Matthew Paine,6.852941176470588,0.0499134198484624,6.952941176470588,0.049913419848462,17.0,2
Eric Young,6.6,0.0,6.7,0.0,7.0,1
Mohamed Saad Ibn Seddik,6.956250000000001,0.0496078370824608,6.956250000000001,0.0496078370824608,16.0,2
Conlan Cesar,6.815384615384615,0.0532938710021193,6.815384615384615,0.0532938710021193,13.0,2
Kenneth Foote,6.5,0.5,7.0,0.0,2.0,2
Ted Maksym,6.25,0.25,6.0,0.0,4.0,2
Meredith Bittrich,0.0,0.0,0.0,0.0,0.0,1
Douglas Edward Jonart,5.65138888888889,0.520948135495793,5.697222222222222,0.5802231903477175,72.0,17
Jeremy Thomas Leghorn,5.946938775510204,0.6177979462364785,5.9530612244897965,0.7025034071574947,49.0,11
Svetlana V. Boriskina,6.469565217391305,0.3519322842582272,6.469565217391305,0.259489101067422,23.0,6
Sorin Grama,5.755882352941177,0.4809250745549041,5.598529411764706,0.5884907533530214,68.0,11
Eliza Catherine Squibb,5.63076923076923,0.1065877420042389,5.553846153846153,0.1598816130063579,13.0,3
Gazi Sadman Sakib,5.2,0.0,5.0,0.0,5.0,1
Steven D. Eppinger,6.005087719298246,0.2551753632103523,5.875263157894737,0.2646454447929847,570.0,13
Maria Yang,6.555038759689922,0.3675102150792669,6.48201550387597,0.3345977101933104,645.0,38
Katie Chen,6.2,0.0,6.1,0.0,13.0,1
Alexander S. Crease,6.3,0.0,6.2,0.0,27.0,2
Natha Singhasaneh,6.306451612903226,0.2804782596036664,6.406451612903226,0.2804782596036664,31.0,2
Ioannis V. Yannas,5.697231833910036,0.4728540506048918,5.482871972318339,0.7140222250981915,578.0,54
Myron Spector,6.034022556390977,0.42548996906733705,5.90169172932331,0.5628680540966715,532.0,48
Toni-Rose Maico Guiriba,6.7,0.0,5.5,0.0,3.0,1
Jongyoon Han,5.609556313993174,0.3190923685416161,5.457337883959045,0.5057914541087536,586.0,21
Scott R. Manalis,6.214395393474087,0.3765232263980106,6.115547024952016,0.4817675172600641,521.0,22
Michelle A. Hsu,6.5,0.0,6.7,0.0,13.0,1
Stuti Khandwala,6.7,0.0,7.0,0.0,3.0,1
Vainavi Mukkamala,7.0,0.0,7.0,0.0,9.0,1
Amy X. Zhong,6.900000000000001,8.881784197001252e-16,6.900000000000001,8.881784197001252e-16,26.0,2
Mark Bathe,5.720936639118457,0.5039264057694137,5.794765840220385,0.5116280261872062,363.0,22
Peter T. C. So,5.452588555858311,0.7037754179339496,5.525340599455043,0.6336055134405877,367.0,36
James A. Drayton,6.7,0.0,6.4,0.0,15.0,1
Timothy G. Gutowski,5.354880694143166,0.58231626362778,5.262689804772234,0.6173877244167415,461.0,32
Julie Newman,6.24,0.1199999999999999,6.0,0.0,5.0,2
Andrea M. Quiros Balma,5.166666666666667,1.2801909579781012,5.566666666666666,0.6128258770283411,6.0,5
Donald M. Baskin,6.615384615384615,0.1994074061048571,6.503846153846154,0.1675175518490969,26.0,4
Jose Juan Pacheco,5.889333333333333,0.7788150543542989,5.758666666666667,0.7308612879488295,75.0,11
Thomas A. Roemer,5.714000000000001,1.01902109889835,5.575,1.1015784130056288,100.0,16
Kathryn Elizabeth Hansen,6.623809523809523,0.2401813373889239,6.638095238095239,0.1938978387762129,63.0,8
Peter Hansen,6.5402877697841735,0.2900556692934495,6.564028776978417,0.3245377884781721,139.0,12
Douglas A. Lauffenburger,5.462698412698412,0.5673293222095525,5.4753968253968255,0.6334193560547723,126.0,9
William Aulet,6.777215189873417,0.2916341418295538,6.586075949367089,0.4385632980352918,79.0,8
Eugene A. Fitzgerald,6.089855072463768,0.2777471102583764,6.052173913043478,0.3259806590031198,69.0,7
Scott Stern,6.649462365591398,0.2188059757759466,6.588172043010753,0.3410450297786002,93.0,7
Victor Ogbonnia Obiahu,5.0,0.0,4.8,0.0,4.0,1
Shari Loessberg,6.83728813559322,0.1039855027130711,6.859322033898306,0.1222925695426945,177.0,7
Victoria Y. Yang,6.9,0.0,6.9,0.0,20.0,1
George Barbastathis,5.404096834264432,0.8254912052320669,5.169832402234638,0.9133718863767739,537.0,30
Subeen Pang,5.728571428571428,0.4948716593053935,6.128571428571428,0.1484614977916179,7.0,2
Christopher Alexis Kotelly,5.882407407407407,0.4420132191134743,5.730740740740741,0.4588829103128912,540.0,27
Gregory L. Long,5.690909090909091,0.392631862708982,5.878787878787879,0.4977266961852663,33.0,9
Seth Lloyd,5.7971496437054615,0.6755249205057787,5.630878859857482,0.6560853002407909,421.0,26
Kenneth C. Zolot,6.3275,0.4964813692375576,6.124999999999999,0.6227961143102931,40.0,11
Vivishek Sudhir,5.838636363636363,0.6809805460747255,5.697727272727272,1.0176819998862914,44.0,7
Anastasios John Hart,5.8330909090909095,0.5884613920363474,5.7130909090909086,0.6536411935590927,275.0,13
Kaitlyn Elizabeth Gee,6.8,0.0,6.6,0.0,8.0,1
Alexander I. Peraire-Bueno,6.6,0.0,6.5,0.0,8.0,1
Ana Carolina Bastidas,6.70625,0.339058899750471,6.621875,0.3342289400620478,32.0,9
Juliet Simpson,6.792592592592593,0.2566535724306729,6.792592592592593,0.2566535724306729,27.0,8
Madhurima Das,6.683333333333334,0.4038013813195239,6.683333333333334,0.4038013813195239,12.0,3
Booker B. Schelhaas,6.7,0.0,6.6,0.0,7.0,1
Leah M. Chong,7.0,0.0,7.0,0.0,1.0,1
Qifang Bao,6.242424242424242,0.557608694679344,6.375757575757576,0.652747249349637,33.0,11
Jana I. Saadi,6.533333333333333,0.3299831645537223,6.666666666666667,0.2867441755680877,9.0,4
Robin Willis,6.363636363636363,0.2226808857075616,6.445454545454546,0.0890723542830247,11.0,2
Madison A. Reddie,0.0,0.0,0.0,0.0,0.0,1
Sheng-Hung Lee,6.25,0.75,6.25,0.25,4.0,2
George Edward Moore,6.3,0.0,7.0,0.0,4.0,1
Emilio Baglietto,6.190625000000001,0.353870893653321,6.0375,0.4106016926414209,32.0,6
Matteo Bucci,6.658823529411764,0.1942067531672842,6.576470588235295,0.2389423060187047,17.0,4
Michael W. Golay,5.563414634146343,0.4273847899260546,5.368667917448406,0.4335090777485631,533.0,20
Gregory Stephanopoulos,5.0,0.6324555320336759,4.909090909090909,0.6612035107624792,11.0,2
Liam S. Hines,4.0,0.0,4.0,0.0,2.0,1
Azfar Sulaiman,3.5,0.0,3.5,0.0,2.0,1
Andrew Saloutos,6.946666666666667,0.0498887651569857,6.786666666666666,0.1995550606279437,15.0,3
Nina T. Petelina,6.7,0.0,6.8,0.0,3.0,1
Collin John Goldbach,7.0,0.0,7.0,0.0,1.0,1
Amy Carleton,6.104950495049505,0.7425372928093417,5.919801980198021,0.8444366335699147,101.0,24
Kyle M. Keane,6.628260869565218,0.3585375145481631,6.4543478260869565,0.3288362363264747,46.0,4
Brandon W. Yue,6.6,0.0,6.6,0.0,5.0,1
Abbott Weiss,5.653170731707317,0.664245175953513,5.577073170731707,0.8355580693937262,205.0,35
Yuke Cui,5.75,0.4330127018922193,5.75,0.4330127018922193,4.0,2
Vicente Parodi,5.666666666666667,0.2357022603955158,5.866666666666667,0.0942809041582064,6.0,2
Carlos M. Portela Galindo,6.401999999999999,0.2477821623926952,6.428000000000001,0.2946455497712463,100.0,5
Ippolyti Dellatolas,6.3,0.0,6.3,0.0,8.0,1
Maya S. Redden,5.0,0.0,4.5,0.0,2.0,1
Jack O'Leary,6.9,0.0,6.9,0.0,8.0,1
Max J. Burns,6.6,0.0,6.8,0.0,13.0,1
Nikolaos Tsakiris,4.4,0.0,5.0,0.0,7.0,1
Shiva Mudide,6.2,0.0,6.5,0.0,10.0,1
Rika Sugimoto Dimitrova,6.391304347826087,0.1380391988381524,6.491304347826088,0.1380391988381524,23.0,2
Simone Bruno,6.6,0.0,6.4,0.0,7.0,1
Youngjae Min,6.0,0.0,7.0,0.0,2.0,1
Asegun S. Henry,5.8,0.3804758924845368,5.887830687830688,0.5597713562995067,189.0,9
Christos Kakoutas,5.183333333333334,0.9898091847534166,5.366666666666666,0.9603240193925292,36.0,4
Nathan Ramesh,6.220000000000001,0.6368673331236262,6.220000000000001,0.6368673331236262,5.0,2
Rohit Karnik,5.978947368421053,0.3706735652386868,5.971842105263159,0.4329480050413118,380.0,27
Aljazzy Khalaf F Alahmadi,5.3,0.0,5.3,0.0,6.0,1
Joshua P. Wiesman,5.2,0.0,5.0,0.0,20.0,1
Ellen Roche,6.535000000000001,0.3247691487810993,6.513999999999999,0.3512890547682918,100.0,8
Tom McGlennon Dillon,6.818181818181818,0.1991718390927878,6.8,0.0,11.0,2
April Marie Anlage,6.866666666666666,0.0942809041582064,6.422222222222222,0.3224137361899314,9.0,3
Samuel Dutra Gollob,7.0,0.0,7.0,0.0,1.0,1
Amandeep Singh,0.0,0.0,0.0,0.0,0.0,1
Deepali Kishnani,7.0,0.0,7.0,0.0,1.0,1
Jordan L. Tappa,6.747619047619047,0.0499432784842927,6.747619047619047,0.0499432784842927,21.0,3
James F. Dudley,6.8112627986348135,0.202483157893176,6.772013651877133,0.4730646289444351,293.0,20
Atissa Banuazizi,6.582456140350878,0.3277369543311007,6.57719298245614,0.2932082332079533,57.0,11
Rebecca Thorndike-Breeze,6.879310344827586,0.1583956424531842,6.917241379310345,0.0985024610833496,29.0,6
Elizabeth Hyde Stevens,7.0,0.0,7.0,0.0,2.0,1
Peter Nielsen,6.501098901098901,0.4517352393629579,6.380219780219781,0.5561286475050321,91.0,13
Richard M. Wiesman,6.331543624161075,0.8229988744984963,6.261744966442953,0.8028136189489845,149.0,22
Nathan Phipps,6.2714285714285705,0.7290847864619997,6.277380952380954,0.8351434422666547,84.0,11
Kamala Grasso,7.0,0.0,7.0,0.0,2.0,1
Juhan Sonin,6.51875,0.41678644111823,6.3578125,0.5305671162480293,64.0,11
Melinda Lois Liggett,6.579365079365079,0.2489079195834131,6.428571428571429,0.2946230152049148,63.0,6
Samuel H. Ihns,6.758333333333333,0.2782634642844002,6.583333333333333,0.3996526269427266,12.0,3
Lauren Futami,6.738775510204081,0.1639018204511123,6.685714285714286,0.3010186786529356,49.0,7
Michaelina C. Dupnik,0.0,0.0,0.0,0.0,0.0,1
Alfonso Perez,5.0,0.0,5.0,0.0,5.0,1
Annemarie Dapoz,6.3,0.0,6.3,0.0,6.0,1
Moses Chong-Ook Nah,6.8,0.0,6.933333333333334,0.047140452079103,18.0,2
Daniel H. Rothman,6.3,0.0,6.5,0.0,15.0,1
Constantin W. Arnscheidt,6.6,0.0,6.7,0.0,11.0,1
Tal Cohen,6.283606557377048,0.3441217511711981,6.221311475409836,0.419255684770734,61.0,5
Chockalingam Senthilnathan,5.707142857142857,0.5270731661249503,5.642857142857143,0.4791574237499549,14.0,2
Xiao-Yun Yan,5.5,0.0,4.0,0.0,2.0,1
David Jin,7.0,0.0,7.0,0.0,2.0,1
Navid Azizan Ruhi,5.95925925925926,0.2345354103553714,5.862962962962963,0.1364853760939872,27.0,3
Luca Daniel,6.266875,0.2441111107160016,6.079166666666667,0.4446245294877712,480.0,13
H. Azzouz,6.3,0.0,6.3,0.0,10.0,1
John Drago,6.7,0.0,6.8,0.0,11.0,1
Suhan Kim,6.8,0.0,6.8,0.0,12.0,1
Jaime Peraire,6.221348314606742,0.2410053428995884,6.17191011235955,0.4002776463498843,89.0,4
Peter Williston Shor,4.19672131147541,0.7024470607471984,4.768852459016393,1.3000051681620546,122.0,4
